City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pyay,18.8167,95.2167,33.71,48,88,1.29,MM,23400
1,port-aux-francais,-49.35,70.2167,7.16,97,100,15.07,TF,18000
2,hawaiian paradise park,19.5933,-154.9731,25.55,85,100,6.69,US,-36000
3,falam,22.9167,93.6833,29.77,36,40,1.06,MM,23400
4,georgetown,5.4112,100.3354,28.97,74,20,2.06,MY,28800
5,atafu village,-8.5421,-172.5159,28.75,75,100,3.6,TK,46800
6,arkhangel'sk,64.5401,40.5433,2.06,80,40,2.0,RU,10800
7,axim,4.8699,-2.2405,25.76,90,100,1.55,GH,0
8,whitehorse,60.7161,-135.0538,15.94,23,75,6.71,CA,-25200
9,waitangi,-43.9535,-176.5597,12.68,78,35,2.68,NZ,45900
10,puerto natales,-51.7236,-72.4875,1.39,95,46,1.75,CL,-10800
11,bethel,41.3712,-73.414,15.83,80,100,1.22,US,-14400
12,albany,42.6001,-73.9662,15.78,74,92,1.59,US,-14400
13,saipan,15.1355,145.701,33.39,55,20,7.72,MP,36000
14,papatowai,-46.5619,169.4708,5.84,90,100,4.79,NZ,43200
15,tostado,-29.232,-61.7692,9.43,74,0,3.32,AR,-10800
16,tazovsky,67.4667,78.7,-8.28,93,100,1.76,RU,18000
17,tyukhtet,56.5389,89.3011,13.3,47,100,4.68,RU,25200
18,grytviken,-54.2811,-36.5092,-5.39,84,15,4.83,GS,-7200
19,susuman,62.7833,148.1667,9.43,53,46,4.47,RU,39600
20,yallahs,17.8748,-76.5624,29.85,84,0,3.87,JM,-18000
21,puerto carreno,6.189,-67.4859,25.75,90,72,2.11,CO,-18000
22,qamdo,31.1667,97.2333,7.89,42,2,1.84,CN,28800
23,tvoroyri,61.5556,-6.8111,7.97,85,100,4.17,FO,3600
24,isafjordur,66.0755,-23.124,-0.49,91,99,5.8,IS,0
25,mount isa,-20.7333,139.5,27.87,36,0,8.23,AU,36000
26,uturoa,-16.7333,-151.4333,26.0,75,96,10.99,PF,-36000
27,adamstown,-25.066,-130.1015,22.5,76,46,10.34,PN,-28800
28,itati,-27.2704,-58.2446,14.14,70,100,2.85,AR,-10800
29,constantia,44.1833,28.65,11.38,83,75,4.85,RO,10800
30,iqaluit,63.7506,-68.5145,-3.15,68,40,1.03,CA,-14400
31,selfoss,63.9331,-20.9971,2.25,80,7,3.11,IS,0
32,vadso,70.0744,29.7487,4.09,87,75,2.06,NO,7200
33,el calafate,-50.3408,-72.2768,3.53,71,76,0.94,AR,-10800
34,auki,-8.7676,160.7034,27.17,83,100,1.32,SB,39600
35,longyearbyen,78.2186,15.6401,-2.09,69,75,2.57,SJ,7200
36,edinburgh of the seven seas,-37.0676,-12.3116,16.47,87,97,13.36,SH,0
37,hithadhoo,-0.6,73.0833,27.92,79,100,12.51,MV,18000
38,bredasdorp,-34.5322,20.0403,11.97,92,94,1.44,ZA,7200
39,poykovskiy,61.2333,73.3333,1.16,93,75,4.0,RU,18000
40,xiazhuang,34.9161,118.6389,28.51,54,4,4.32,CN,28800
41,yeppoon,-23.1333,150.7333,26.25,51,0,2.91,AU,36000
42,karasburg,-28.0167,18.75,17.51,31,2,1.43,NA,7200
43,iskateley,67.6803,53.1512,-8.88,92,92,3.58,RU,10800
44,necochea,-38.5473,-58.7368,9.16,59,96,4.46,AR,-10800
45,ciudad lazaro cardenas,17.9583,-102.2,25.24,77,0,1.81,MX,-21600
46,mukalla,14.5425,49.1242,28.06,78,34,2.75,YE,10800
47,puerto ayora,-0.7393,-90.3518,22.53,99,36,2.25,EC,-21600
48,puerto colombia,10.9878,-74.9547,29.05,87,11,8.61,CO,-18000
49,yuzhno-kurilsk,44.0306,145.8556,14.1,68,0,3.09,RU,36000
50,mancio lima,-7.6142,-72.8958,24.04,100,0,0.51,BR,-18000
51,nouadhibou,20.931,-17.0347,17.58,87,0,7.71,MR,0
52,kavieng,-2.5744,150.7967,28.08,82,99,3.45,PG,36000
53,fray luis beltran,-39.3167,-65.7667,8.08,57,100,0.49,AR,-10800
54,baikonur,45.6167,63.3167,18.05,55,100,1.13,KZ,18000
55,la passe,45.5549,-0.8967,9.13,88,46,3.34,FR,7200
56,burutu,5.3509,5.5076,25.94,95,100,2.01,NG,3600
57,ribeira grande,38.5167,-28.7,14.87,79,9,3.13,PT,0
58,sona,45.4388,10.8255,10.92,92,0,1.54,IT,7200
59,jamestown,42.097,-79.2353,16.98,98,100,2.06,US,-14400
60,magugu,-4.0167,35.7667,16.49,90,6,1.07,TZ,10800
61,blackmans bay,-43.0167,147.3167,9.58,63,100,0.45,AU,36000
62,margaret river,-33.95,115.0667,20.69,37,0,6.33,AU,28800
63,olonkinbyen,70.9221,-8.7187,-2.21,92,100,5.69,SJ,7200
64,vorkuta,67.5,64.0,-4.38,94,80,4.92,RU,10800
65,touros,-5.1989,-35.4608,24.64,87,24,3.35,BR,-10800
66,wynyard,-41.0,145.7167,9.91,43,57,2.46,AU,36000
67,diffa,13.3154,12.6113,27.21,24,0,3.99,NE,3600
68,invercargill,-46.4,168.35,8.34,80,100,2.68,NZ,43200
69,shenjiamen,29.9576,122.298,20.76,84,0,6.4,CN,28800
70,port elizabeth,-33.918,25.5701,13.83,90,0,2.57,ZA,7200
71,punta arenas,-53.15,-70.9167,7.06,81,75,7.72,CL,-10800
72,lubango,-14.9172,13.4925,12.06,36,62,2.35,AO,3600
73,mil'kovo,55.6078,37.7956,8.08,89,17,3.06,RU,10800
74,hermanus,-34.4187,19.2345,14.23,89,100,3.35,ZA,7200
75,suva,-18.1416,178.4415,29.71,74,40,5.14,FJ,43200
76,palapye,-22.546,27.1251,15.49,36,0,1.69,BW,7200
77,polyarnyy,69.1989,33.4478,3.19,99,97,6.94,RU,10800
78,thunder bay,48.4001,-89.3168,9.95,93,100,6.17,CA,-14400
79,wailua homesteads,22.0669,-159.378,23.64,92,100,5.66,US,-36000
80,massawa,15.6097,39.45,28.53,68,0,1.11,ER,10800
81,santiago de cuba,20.0247,-75.8219,25.96,89,61,0.24,CU,-14400
82,alta,69.9689,23.2717,11.22,61,100,3.6,NO,7200
83,thompson,55.7435,-97.8558,11.09,93,75,3.6,CA,-18000
84,guerrero negro,27.9769,-114.0611,16.55,82,0,9.27,MX,-25200
85,pemangkat,1.1667,108.9667,25.41,94,100,3.46,ID,25200
86,fada,9.5667,8.3,22.54,85,61,0.24,NG,3600
87,gadzhiyevo,69.2551,33.3362,3.0,100,100,6.32,RU,10800
88,sasolburg,-26.8136,27.817,11.68,42,4,1.13,ZA,7200
89,porto velho,-8.7619,-63.9039,25.03,94,0,1.03,BR,-14400
90,hilo,19.7297,-155.09,25.82,81,100,6.69,US,-36000
91,bei'an,24.5399,109.533,21.12,91,100,2.65,CN,28800
92,hadibu,12.65,54.0333,29.02,74,93,1.04,YE,10800
93,tefe,-3.3542,-64.7114,24.43,94,64,0.92,BR,-14400
94,al badari,26.9926,31.4155,26.08,25,0,2.29,EG,10800
95,vilyuchinsk,52.9306,158.4028,7.74,83,100,1.42,RU,43200
96,sinabang,2.4803,96.3801,28.24,80,100,1.24,ID,25200
97,lahaina,20.8783,-156.6825,28.9,83,100,3.56,US,-36000
98,halifax,44.6453,-63.5724,9.79,94,81,4.12,CA,-10800
99,sur,22.5667,59.5289,30.38,59,0,3.24,OM,14400
100,afaahiti,-17.75,-149.2833,27.93,74,100,10.26,PF,-36000
101,alice springs,-23.7,133.8833,19.75,42,100,10.8,AU,34200
102,chipiona,36.7366,-6.437,16.1,72,0,4.63,ES,7200
103,murun-kuren,49.6342,100.1625,14.36,33,0,1.91,MN,28800
104,mary,37.0,62.5,20.57,71,0,2.74,TM,18000
105,bonthe,7.5264,-12.505,27.14,85,91,2.12,SL,0
106,skovorodino,53.9833,123.9167,9.0,22,46,6.38,RU,32400
107,mogocha,53.7333,119.7667,7.29,19,3,5.03,RU,32400
108,mount gambier,-37.8333,140.7667,13.29,47,97,2.65,AU,34200
109,kapa'a,22.0752,-159.319,24.35,92,100,5.66,US,-36000
110,brasilia,-15.7797,-47.9297,19.51,64,0,2.06,BR,-10800
111,grand falls-windsor,48.9332,-55.6649,5.84,87,100,1.34,CA,-9000
112,jabor,5.921,169.6434,27.93,82,100,7.1,MH,43200
113,tamanrasset,22.785,5.5228,28.95,18,40,2.57,DZ,3600
114,sumy,50.9216,34.8003,8.91,96,8,1.71,UA,10800
115,west island,-12.1568,96.8225,28.99,84,6,3.09,CC,23400
116,libreville,0.3925,9.4537,28.01,89,40,2.57,GA,3600
117,kodiak,57.79,-152.4072,7.73,76,100,3.6,US,-28800
118,severo-yeniseyskiy,60.3725,93.0408,7.96,83,99,2.58,RU,25200
119,yellowknife,62.456,-114.3525,12.45,52,75,6.17,CA,-21600
120,hirara,24.8,125.2833,23.15,94,75,6.17,JP,32400
121,ushuaia,-54.8,-68.3,5.81,70,0,10.29,AR,-10800
122,okhotsk,59.3833,143.3,5.83,78,100,5.82,RU,36000
123,balakhta,55.38,91.6,14.11,46,100,4.3,RU,25200
124,howrah,22.5892,88.3103,31.0,79,75,4.12,IN,19800
125,avarua,-21.2078,-159.775,23.03,83,75,3.09,CK,-36000
126,bubaque,11.2833,-15.8333,26.78,75,89,3.09,GW,0
127,saudarkrokur,65.7461,-19.6394,3.0,80,58,2.8,IS,0
128,east london,-33.0153,27.9116,17.24,75,100,3.47,ZA,7200
129,fort bragg,35.139,-79.006,24.6,71,100,2.06,US,-14400
130,qaqortoq,60.7167,-46.0333,1.42,75,1,1.96,GL,-3600
131,taltal,-25.4,-70.4833,15.22,77,0,0.66,CL,-14400
132,piatykhatky,48.4133,33.7106,12.64,62,100,2.89,UA,10800
133,amravati,20.9333,77.75,31.31,45,30,1.39,IN,19800
134,yermentau,51.6214,73.1069,13.76,92,100,1.13,KZ,18000
135,nyurba,63.2842,118.3319,0.73,58,100,4.56,RU,32400
136,maragogi,-9.0122,-35.2225,24.37,90,15,1.77,BR,-10800
137,bratske,47.865,31.5731,9.53,73,100,3.21,UA,10800
138,tura,25.5198,90.2201,31.13,57,93,3.38,IN,19800
139,lota,-37.0833,-73.1667,7.7,84,0,1.24,CL,-14400
140,alo,7.4178,6.7371,24.91,96,100,1.8,NG,3600
141,alesund,62.4723,6.1549,14.45,68,75,3.6,NO,7200
142,enewetak,11.3474,162.3373,27.84,77,100,7.77,MH,43200
143,college,64.8569,-147.8028,16.86,39,75,6.69,US,-28800
144,flying fish cove,-10.4217,105.6791,27.82,78,100,5.66,CX,25200
145,vorgashor,67.5833,63.95,-4.55,94,80,4.22,RU,10800
146,carnarvon,-24.8667,113.6333,27.89,39,16,8.89,AU,28800
147,lebu,-37.6167,-73.65,7.89,86,0,1.12,CL,-14400
148,bamboo flat,11.7,92.7167,30.05,79,75,1.03,IN,19800
149,rehoboth,-23.3167,17.0833,12.84,32,0,1.29,NA,7200
150,corumba,-19.0092,-57.6533,24.61,64,78,2.26,BR,-14400
151,vera,-29.4593,-60.2126,8.32,87,0,3.25,AR,-10800
152,ust-nera,64.5667,143.2,5.87,74,100,1.2,RU,36000
153,happy valley-goose bay,53.3168,-60.3315,5.17,93,100,4.12,CA,-10800
154,motomachi,43.8228,144.1044,25.01,38,0,3.6,JP,32400
155,badger,64.8,-147.5333,17.54,34,0,6.69,US,-28800
156,hamilton,39.1834,-84.5333,19.06,88,0,2.06,US,-14400
157,tiksi,71.6872,128.8694,-2.66,80,38,2.21,RU,32400
158,qarazhal,48.0078,70.7903,17.98,53,68,5.01,KZ,18000
159,ulysses,37.5814,-101.3552,25.97,29,0,6.17,US,-18000
